OrderID,Date,City,Category,Price,Quantity,CustomerAge,PaymentMethod,Rating,TotalAmount,Month,MonthNum,Weekday,AgeGroup,RevenueSegment
1000,2024-07-07,Lalitpur,Home & Kitchen,14300.14,2,21,Khalti,4.0,28600.28,July,7,Sunday,16-24,Enterprise
1001,2024-05-29,Kathmandu,Beauty,2524.13,2,32,eSewa,4.2,5048.26,May,5,Wednesday,25-34,Premium
1002,2024-01-22,Kathmandu,Home & Kitchen,3404.34,1,30,Khalti,3.8,3404.34,January,1,Monday,25-34,Standard
1003,2024-06-23,Lalitpur,Home & Kitchen,14627.33,1,31,Khalti,4.1,14627.33,June,6,Sunday,25-34,Enterprise
1004,2024-06-15,Kathmandu,Beauty,2547.92,1,30,Khalti,4.6,2547.92,June,6,Saturday,25-34,Standard
1005,2024-09-20,Kathmandu,Clothing,939.52,1,27,Cash on Delivery,4.4,939.52,September,9,Friday,25-34,Budget
1006,2024-09-16,Kathmandu,Clothing,2413.2,1,36,eSewa,4.2,2413.2,September,9,Monday,35-44,Standard
1007,2024-07-26,Bhaktapur,Home & Kitchen,1442.23,1,51,Bank Transfer,5.0,1442.23,July,7,Friday,45-54,Budget
1008,2024-01-15,Kathmandu,Home & Kitchen,8506.28,1,29,Khalti,3.9,8506.28,January,1,Monday,25-34,Premium
1009,2024-10-15,Lalitpur,Groceries,577.22,2,31,Bank Transfer,4.6,1154.44,October,10,Tuesday,25-34,Budget
1010,2024-02-17,Pokhara,Electronics,16559.8675,1,40,Khalti,5.0,16559.8675,February,2,Saturday,35-44,Enterprise
1011,2024-04-10,Chitwan,Books,2684.2,1,34,eSewa,4.7,2684.2,April,4,Wednesday,25-34,Standard
1012,2024-01-15,Kathmandu,Books,1582.63,1,17,Cash on Delivery,3.9,1582.63,January,1,Monday,16-24,Budget
1013,2024-08-09,Kathmandu,Electronics,16559.8675,1,37,eSewa,5.0,16559.8675,August,8,Friday,35-44,Enterprise
1014,2024-03-26,Biratnagar,Beauty,584.83,1,16,eSewa,4.8,584.83,March,3,Tuesday,16-24,Budget
1015,2024-10-12,Biratnagar,Home & Kitchen,12212.14,1,23,Khalti,3.8,12212.14,October,10,Saturday,16-24,Enterprise
1016,2024-04-30,Biratnagar,Books,508.15,1,16,eSewa,4.4,508.15,April,4,Tuesday,16-24,Budget
1017,2024-11-10,Kathmandu,Groceries,746.59,1,46,Khalti,4.2,746.59,November,11,Sunday,45-54,Budget
1018,2024-10-21,Pokhara,Electronics,16559.8675,1,20,eSewa,3.3,16559.8675,October,10,Monday,16-24,Enterprise
